num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,N_acl,N_acl_max,acl_ratio,visible_ratio,path,n_repeats,median_gates,median_prove_time,median_verify_time,median_proof_size,median_build_time,acl_vs_committed_gates,acl_vs_committed_prove_time,acl_vs_committed_proof_size
400,64,8,4,64,5,256,1,1,0.003906,1.000000,auth_committed,3,23583,0.698869015,0.005060254,144415,1.327936789,,,
400,64,8,4,64,5,256,1,1,0.003906,1.000000,auth_acl_class,3,22210,0.678353985,0.005036456,144150,1.341899661,0.941780,0.970645,0.998165
400,64,8,4,64,5,256,2,2,0.007812,0.500000,auth_committed,3,23583,0.683617861,0.005064746,144415,1.322020398,,,
400,64,8,4,64,5,256,2,2,0.007812,0.500000,auth_acl_class,3,22402,0.688772871,0.005051658,145464,1.331716844,0.949922,1.007541,1.007264
400,64,8,4,64,5,256,4,4,0.015625,0.750000,auth_committed,3,23583,0.706810345,0.005095780,143327,1.313546477,,,
400,64,8,4,64,5,256,4,4,0.015625,0.750000,auth_acl_class,3,22787,0.700229476,0.005057059,142262,1.342555155,0.966247,0.990689,0.992569
400,64,8,4,64,5,256,8,8,0.031250,0.872807,auth_committed,3,23583,0.680217341,0.005036549,145311,1.440098009,,,
400,64,8,4,64,5,256,8,8,0.031250,0.872807,auth_acl_class,3,23562,0.695075073,0.005039937,145511,1.301008195,0.999110,1.021843,1.001376
400,64,8,4,64,5,256,16,16,0.062500,0.934211,auth_committed,3,23583,0.679416764,0.005041720,143903,1.325342102,,,
400,64,8,4,64,5,256,16,16,0.062500,0.934211,auth_acl_class,3,25125,0.700193312,0.005050907,144391,1.374517757,1.065386,1.030580,1.003391
400,64,8,4,64,5,256,32,32,0.125000,0.964912,auth_committed,3,23583,0.688790018,0.005061720,146288,1.304644878,,,
400,64,8,4,64,5,256,32,32,0.125000,0.964912,auth_acl_class,3,28275,0.731981321,0.005051448,145112,1.225461338,1.198957,1.062706,0.991961
400,64,8,4,64,5,256,64,64,0.250000,0.982456,auth_committed,3,23583,0.695983574,0.005040468,144494,1.429428886,,,
400,64,8,4,64,5,256,64,64,0.250000,0.982456,auth_acl_class,3,34621,1.276153238,0.005309692,150697,3.055064426,1.468049,1.833597,1.042929
