num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,visible_ratio,auth_tree_depth,path,n_repeats,median_gates,median_prove_time,median_verify_time,median_proof_size,median_build_time,policy_vs_baseline_gates,committed_vs_baseline_gates,slot_vs_committed_gates,slot_vs_committed_prove_time
400,64,8,2,32,5,64,0.968750,6,baseline,3,10032,0.360745625,0.004749708,138293,0.686933469,,,,
400,64,8,2,32,5,64,0.968750,6,auth_all_visible,3,10039,0.346450322,0.004782527,135778,0.709938220,,,,
400,64,8,2,32,5,64,0.968750,6,auth_policy,3,10442,0.358640158,0.004761847,136245,0.649084545,1.040869,,,
400,64,8,2,32,5,64,0.968750,6,auth_committed,3,11062,0.370901307,0.004757896,133975,0.684791811,,1.102671,,
400,64,8,2,32,5,64,0.968750,8,auth_slot_aligned,3,10979,0.371915435,0.004752648,135129,0.669628980,,,0.992497,1.002734
400,64,8,2,64,5,128,0.983333,7,baseline,3,10459,0.375800439,0.004769318,135072,0.727475719,,,,
400,64,8,2,64,5,128,0.983333,7,auth_all_visible,3,10472,0.361257617,0.004764036,135793,0.655072281,,,,
400,64,8,2,64,5,128,0.983333,7,auth_policy,3,11278,0.363592311,0.004775947,136275,0.621232470,1.078306,,,
400,64,8,2,64,5,128,0.983333,7,auth_committed,3,12706,0.372232213,0.004764486,137900,0.668647774,,1.214839,,
400,64,8,2,64,5,128,0.983333,9,auth_slot_aligned,3,12530,0.381071182,0.004757436,136923,0.606430639,,,0.986148,1.023746
400,64,8,2,128,5,256,0.983333,8,baseline,3,11313,0.372433759,0.004761346,137683,0.629144174,,,,
400,64,8,2,128,5,256,0.983333,8,auth_all_visible,3,11339,0.393622980,0.004792038,138788,0.721178558,,,,
400,64,8,2,128,5,256,0.983333,8,auth_policy,3,12952,0.391166703,0.004763916,135072,0.712545552,1.144878,,,
400,64,8,2,128,5,256,0.983333,8,auth_committed,3,16178,0.411076190,0.004772248,136266,0.650740315,,1.430036,,
400,64,8,2,128,5,256,0.983333,10,auth_slot_aligned,3,15816,0.400663363,0.004769198,137482,0.642364268,,,0.977624,0.974669
400,64,8,4,32,5,128,0.984375,7,baseline,3,17863,0.655707837,0.005013143,143366,1.456321336,,,,
400,64,8,4,32,5,128,0.984375,7,auth_all_visible,3,17876,0.665797188,0.005009672,142278,1.433674219,,,,
400,64,8,4,32,5,128,0.984375,7,auth_policy,3,18683,0.637383590,0.005020692,144247,1.480786176,1.045905,,,
400,64,8,4,32,5,128,0.984375,7,auth_committed,3,20110,0.661310542,0.005024382,143327,1.426714367,,1.125791,,
400,64,8,4,32,5,128,0.984375,8,auth_slot_aligned,3,19758,0.673178873,0.005045514,143999,1.416496307,,,0.982496,1.017947
400,64,8,4,64,5,256,0.991228,8,baseline,3,18720,0.664816083,0.005036392,143253,1.438371242,,,,
400,64,8,4,64,5,256,0.991228,8,auth_all_visible,3,18744,0.656230156,0.005048894,146167,1.556177010,,,,
400,64,8,4,64,5,256,0.991228,8,auth_policy,3,20358,0.668119059,0.005041433,142310,1.501033505,1.087500,,,
400,64,8,4,64,5,256,0.991228,8,auth_committed,3,23583,0.699749523,0.005063405,145072,1.373090076,,1.259776,,
400,64,8,4,64,5,256,0.991228,9,auth_slot_aligned,3,22861,0.695981586,0.005037713,143596,1.330559426,,,0.969385,0.994615
400,64,8,4,128,5,512,0.991228,9,baseline,3,20432,0.678081149,0.005082233,145574,1.482060650,,,,
400,64,8,4,128,5,512,0.991228,9,auth_all_visible,3,20483,0.671341114,0.005064822,144597,1.460651682,,,,
400,64,8,4,128,5,512,0.991228,9,auth_policy,3,23708,0.697951704,0.005063823,145815,1.380916464,1.160337,,,
400,64,8,4,128,5,512,0.991228,9,auth_committed,3,30902,0.795099494,0.005098763,145407,1.319000666,,1.512431,,
400,64,8,4,128,5,512,0.991228,10,auth_slot_aligned,3,29437,0.784828483,0.005067054,146158,1.356867961,,,0.952592,0.987082
